127.0.0.1 - - [11/Dec/2023:14:08:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/list-category HTTP/1.1" 200 39934
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/img/product02.png HTTP/1.1" 200 190321
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/img/product01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/img/shop01.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/img/shop03.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/js/nouislider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/js/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/js/jquery.zoom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/img/shop02.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/views/admin/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:08:33 +0700] "GET /ShopLaptop/img/product01.png HTTP/1.1" 404 787
