127.0.0.1 - - [05/Jan/2024:08:44:03 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/css/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/css/nouislider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/js/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/views/client/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:06 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20094333.png HTTP/1.1" 200 97003
